"primary_cytogenetic_code","t821","n","percent_of_row"
"inv(16)","Missing",0,0
"Missing","Missing",7,100
"MLL","Missing",0,0
"Normal","Missing",0,0
"Other","Missing",0,0
"PML-RARA","Missing",0,0
"t(8;21)","Missing",0,0
"Unknown","Missing",0,0
"inv(16)","No",199,98.5
"Missing","No",0,0
"MLL","No",410,100
"Normal","No",441,100
"Other","No",523,97.8
"PML-RARA","No",0,0
"t(8;21)","No",0,0
"Unknown","No",0,0
"inv(16)","Unknown",3,1.5
"Missing","Unknown",0,0
"MLL","Unknown",0,0
"Normal","Unknown",0,0
"Other","Unknown",12,2.2
"PML-RARA","Unknown",66,100
"t(8;21)","Unknown",0,0
"Unknown","Unknown",47,100
"inv(16)","Yes",0,0
"Missing","Yes",0,0
"MLL","Yes",0,0
"Normal","Yes",0,0
"Other","Yes",0,0
"PML-RARA","Yes",0,0
"t(8;21)","Yes",270,100
"Unknown","Yes",0,0
